ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Bwe_Karen,Bwe Karen,bwek1238,Bwe Karen,bwe,Eurasia,18.9796,96.9936,Sino-Tibetan
Geba_Karen,Geba Karen,geba1237,Geba Karen,kvq,Eurasia,19.4991,96.9492,Sino-Tibetan
Eastern_Kayah_Li,Eastern Kayah Li,east2342,Eastern Kayah,eky,Eurasia,19.8939,98.3359,Sino-Tibetan
Kayah_Monu,Kayah Monu,manu1255,Manumanaw Karen,kxf,Eurasia,19.165,96.9531,Sino-Tibetan
Brek_Kayaw,Brek Kayaw,brek1238,Brek Karen,kvl,Eurasia,19.0561,96.8365,Sino-Tibetan
Yintale,Yintale,yint1235,Yintale Karen,kvy,Eurasia,18.9378,97.3368,Sino-Tibetan
Pekon_Kayan,Pekon Kayan,kaya1315,Kayan Lahwi,pdu,Eurasia,19.5183,97.4138,Sino-Tibetan
Lahta_Kayan,Lahta Kayan,zaye1235,Lahta-Zayein Karen,kxk,Eurasia,20.16,96.908,Sino-Tibetan
Yinbaw,Yinbaw,yinb1236,Yinbaw Karen,kvu,Eurasia,19.0383,97.2134,Sino-Tibetan
Western_Kayah_Li,Western Kayah Li,west2409,Western Kayah,kyu,Eurasia,18.687,97.4877,Sino-Tibetan
