LEXEME,REPLACEMENT,COMMENT
méʰ=pʰâ ~ méʰ=pʰó,méʰ=pʰâ,alternative
lū-lù ~ lù-plī,lū-lù,alternative
hɔ̋ #,hɔ̋,stray character
