Grapheme	IPA	Frequence	Codepoints
=	+	352	U+003d
^=	NULL
=$	NULL
ʔ	ʔ	186	U+0294
l	l	180	U+006c
-	NULL	154	U+002d
à	a	146	U+00e0
m	m	138	U+006d
k	k	106	U+006b
kʰ	kʰ	92	U+006b U+02b0
θ	θ	87	U+03b8
pʰ	pʰ	83	U+0070 U+02b0
n	n	83	U+006e
ŋ	ŋ	79	U+014b
t	t	76	U+0074
ā	a	64	U+0101
ì	i	64	U+00ec
í	i	64	U+00ed
tʰ	tʰ	63	U+0074 U+02b0
á	a	61	U+00e1
ǝ̄	ə	60	U+01dd U+0304
ò	o	59	U+00f2
ù	u	57	U+00f9
p	p	57	U+0070
ú	u	55	U+00fa
b	b	53	U+0062
è	e	49	U+00e8
y	j	49	U+0079
ē	e	48	U+0113
i	i	47	U+0069
d	d	44	U+0064
r	r	43	U+0072
ó	o	42	U+00f3
ō	o	41	U+014d
é	e	40	U+00e9
ɛ̀	ɛ	37	U+025b U+0300
ɛ̄	ɛ	35	U+025b U+0304
h	h	35	U+0068
ū	u	34	U+016b
ɛ́	ɛ́	29	U+025b U+0301
s	s	28	U+0073
ɔ́	ɔ́	28	U+0254 U+0301
ɔ̀	ɔ	27	U+0254 U+0300
ǝ̀	ə	25	U+01dd U+0300
ī	i	24	U+012b
ʆ	tʃʲ	24	U+0286
š	ʃ	22	U+0161
ʂ	ʂ	20	U+0282
â	a	19	U+00e2
_	+	19	U+005f
sʰ	sʰ	18	U+0073 U+02b0
ɯ̀	ɯ	17	U+026f U+0300
a̋	a	17	U+0061 U+030b
ǝ́	ə́	16	U+01dd U+0301
ɔ̄	ɔ	16	U+0254 U+0304
ǝ	ə	16	U+01dd
w	w	16	U+0077
ȁ	a	15	U+0201
ɯ	ɯ	15	U+026f
ɤ́	ɤ́	14	U+0264 U+0301
g	g	14	U+0067
u	u	14	U+0075
ȕ	u	14	U+0215
ɜ̀	ɜ	14	U+025c U+0300
.	NULL	13	U+002e
ʋ	ɤ	13	U+028b
ɯ́	ɯ́	13	U+026f U+0301
ɤ̀	ɤ	12	U+0264 U+0300
e̋	e	12	U+0065 U+030b
ǯ	dʒ	12	U+01ef
ǝ̏	ə	12	U+01dd U+030f
a	a	12	U+0061
i̯	j	11	U+0069 U+032f
ɓ	ɓ	11	U+0253
ʓ	dʒ	11	U+0293
ű	u	10	U+0171
ɯ̏	ɯ	10	U+026f U+030f
=w	w	10	U+003d U+0077
ɤ̄	ɤ	10	U+0264 U+0304
ɗ	ɗ	9	U+0257
ɕʰ	tɕʰ	9	U+0255 U+02b0
šʰ	ʃʰ	9	U+0161 U+02b0
v	v	9	U+0076
ɲ	ɲ	9	U+0272
àʰ	a̤	9	U+00e0 U+02b0
=ʂ	ʂ	8	U+003d U+0282
kʰw	kʰ w	8	U+006b U+02b0 U+0077
ʌ̄	ʌ	8	U+028c U+0304
i̋	ɪ	8	U+0069 U+030b
ʑ	dʑ	8	U+0291
ɕ	tɕ	7	U+0255
ɛ̏	ɛ	7	U+025b U+030f
éʰ	e̤	7	U+00e9 U+02b0
ɯ̋	ɯ	7	U+026f U+030b
ȉ	i	7	U+0209
c	ts	7	U+0063
ɯ̄	ɯ	7	U+026f U+0304
tʰw	tʰ w	7	U+0074 U+02b0 U+0077
ȅ	e	7	U+0205
ɔ̏	ɔ	7	U+0254 U+030f
bw	b w	7	U+0062 U+0077
īʰ	i̤	6	U+012b U+02b0
ı̄	ɪ	6	U+0131 U+0304
ʋ̏ʰ	ɤ̤	6	U+028b U+030f U+02b0
āʰ	a̤	6	U+0101 U+02b0
ȍ	o	6	U+020d
=s	s	5	U+003d U+0073
ɔ̋	ɔ	5	U+0254 U+030b
ǝ̂	ə	5	U+01dd U+0302
rw	r w	5	U+0072 U+0077
ɨ́	ɨ	5	U+0268 U+0301
x	x	5	U+0078
ı̀	ɪ	5	U+0131 U+0300
ȅʰ	e̤	5	U+0205 U+02b0
ǎ	ǎ	5	U+01ce
=h	h	5	U+003d U+0068
pw	p w	4	U+0070 U+0077
óʰ	o̤	4	U+00f3 U+02b0
iʰ	i̤	4	U+0069 U+02b0
ê	e	4	U+00ea
u̯	u	4	U+0075 U+032f
θw	θ w	4	U+03b8 U+0077
